radius,shell_power,full_fft_sites_per_channel
0,80.62988058549874,1
1,10.5764260902804,8
2,2.201839164042515,16
3,0.8791041850985142,20
4,0.4582002583530287,24
5,0.22867136215607203,40
6,0.1543464345444305,36
7,0.09524243154078828,48
8,0.06313637521321959,56
9,0.045292372887949066,56
10,0.030678004694896555,68
11,0.023446731703299542,64
12,0.015794849912867476,80
13,0.011041697066314273,92
14,0.008553478840174152,88
15,0.006625706229445223,96
16,0.0045181442405535675,74
17,0.0013937990261590984,60
18,0.0008970905555942744,36
19,0.0005528401536220365,32
20,0.00040946911574418635,16
21,0.00027257111609321077,12
22,0.00022386812564077906,1
