radius,shell_power,full_fft_sites_per_channel,static_weight
0,80.62988058549874,1,2.0875728378849647
1,10.5764260902804,8,2.2656612647362406
2,2.201839164042515,16,2.1470140705753225
3,0.8791041850985142,20,1.8671754650417516
4,0.4582002583530287,24,1.6143793975356102
5,0.22867136215607203,40,1.3541748475582933
6,0.1543464345444305,36,1.2301750127105522
7,0.09524243154078828,48,1.1081473662844499
8,0.06313637521321959,56,1.0296481960417723
9,0.045292372887949066,56,0.9809721261288601
10,0.030678004694896555,68,0.9376985968009979
11,0.023446731703299542,64,0.915029331553974
12,0.015794849912867476,80,0.8903983182939224
13,0.011041697066314273,92,0.8754030954364969
14,0.008553478840174152,88,0.8681325284017544
15,0.006625706229445223,96,0.8631006093366184
16,0.0045181442405535675,74,0.858463412432781
17,0.0013937990261590984,60,0.8484525745611813
18,0.0008970905555942744,36,0.8432557602176911
19,0.0005528401536220365,32,0.8377103971853435
20,0.00040946911574418635,16,0.8347427447964249
21,0.00027257111609321077,12,0.831362161762594
22,0.00022386812564077906,1,0.829921119587747
