radius,shell_power,full_fft_sites_per_channel
0,79.22171656764623,1
1,10.36837337086757,8
2,2.2405480924780354,16
3,0.8924160572871888,20
4,0.47248981712136295,24
5,0.23589370321798145,40
6,0.15791933513096026,36
7,0.09797657465086759,48
8,0.06526196868127558,56
9,0.04683162736320132,56
10,0.031232054865236256,68
11,0.024005483914466483,64
12,0.01628403284092344,80
13,0.011520629405500209,92
14,0.008799481499396914,88
15,0.00667884532066015,96
16,0.004598296113478403,74
17,0.0014334241536196515,60
18,0.0008826221730656689,36
19,0.0005679684162658638,32
20,0.0004190487633334323,16
21,0.0002717230946914909,12
22,0.00024580343697936687,1
